Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
1;Grass;20190617;Diego Schwartzman;R;170;26.8336755647;23
1;Grass;20190617;Lucas Pouille;R;185;25.311430527;29
1;Grass;20190617;Fernando Verdasco;L;188;35.5865845311;37
1;Grass;20190701;Paolo Lorenzi;R;183;37.5414099932;106
1;Grass;20190701;Alexei Popyrin;R;196;19.9041752225;101
1;Hard;20190729;Peter Gojowczyk;R;185;30.0369609856;122
1;Hard;20190729;Marin Cilic;R;198;30.8309377139;17
1;Hard;20190729;Frances Tiafoe;R;188;21.5195071869;40
1;Hard;20190729;Bjorn Fratangelo;R;;26.0260095825;124
1;Hard;20190805;Karen Khachanov;R;198;23.2060232717;8
1;Hard;20190805;Dominic Thiem;R;185;25.9192334018;4
1;Hard;20190805;Cristian Garin;R;185;23.1813826146;36
1;Hard;20190805;Kyle Edmund;R;188;24.5722108145;33
1;Hard;20190812;David Goffin;R;180;28.6789869952;19
1;Hard;20190812;Novak Djokovic;R;188;32.2245037645;1
1;Hard;20190812;Andrey Rublev;R;188;21.8097193703;70
1;Hard;20190812;Jan Lennard Struff;R;193;29.2977412731;36
1;Hard;20190812;Benoit Paire;R;196;30.2614647502;29
1;Hard;20190812;Kyle Edmund;R;188;24.59137577;30
1;Hard;20190826;Prajnesh Gunneswaran;L;;29.7850787132;88
1;Hard;20190826;Hugo Dellien;R;180;26.1930184805;84
1;Hard;20190826;Feliciano Lopez;L;188;37.9301848049;61
1;Hard;20190826;Dominik Koepfer;L;180;25.325119781;118
1;Hard;20190826;Stan Wawrinka;R;183;34.4120465435;24
1;Hard;20190826;Grigor Dimitrov;R;188;28.2792607803;78
1;Hard;20190916;Borna Coric;R;188;22.8364134155;15
1;Hard;20190916;Egor Gerasimov;R;196;26.8446269678;119
1;Hard;20190916;Andrey Rublev;R;188;21.9055441478;38
1;Hard;20190916;Evgeny Donskoy;R;185;29.3552361396;118
1;Hard;20191007;Alexander Zverev;R;198;22.4640657084;6
1;Hard;20191007;Stefanos Tsitsipas;R;193;21.1526351814;7
1;Hard;20191007;Fabio Fognini;R;178;32.372347707;12
1;Hard;20191007;Vasek Pospisil;R;193;29.2895277207;248
1;Hard;20191007;Cameron Norrie;L;188;24.1232032854;64
1;Hard;20190201;Henri Laaksonen;R;185;26.8281998631;142
1;Hard;20200106;Diego Schwartzman;R;170;27.3894592745;13
1;Hard;20200106;Fabio Fognini;R;178;32.6214921287;12
1;Hard;20200106;John Isner;R;206;34.6967830253;19
1;Hard;20200106;Casper Ruud;R;183;21.0403832991;53
1;Hard;20200120;Frances Tiafoe;R;188;21.9986310746;50
1;Hard;20200120;Pedro Martinez;R;;22.7351129363;168
1;Hard;20200120;Alexei Popyrin;R;196;20.4599589322;96
1;Hard;20200217;Jannik Sinner;R;188;18.5051334702;68
1;Hard;20200824;Aljaz Bedene;R;181;31.1019849418;61
1;Hard;20200824;Marcos Giron;R;180;27.0855578371;101
